Name,Remaining Time,Current Price,Article URL
3 Tage Kurzurlaub Hotel Dachstein 4* inkl. HP Filzmoos Salzburger Land Wandern,"Noch 5T 22Std (Mittwoch, 16:38)","EUR 133,00",https://www.ebay.at/itm/3-Tage-Kurzurlaub-Hotel-Dachstein-4-inkl-HP-Filzmoos-Salzburger-Land-Wandern/402620243758?hash=item5dbe095f2e:g:xU0AAOSwwfdf4zCG
3 Tage Wellness Urlaub Hotel zur Post Döbriach 3*S Millstätter See Kärnten HP,Noch 39 Min (Heute 19:18),"EUR 111,02",https://www.ebay.at/itm/3-Tage-Wellness-Urlaub-Hotel-zur-Post-Dobriach-3-S-Millstatter-See-Karnten-HP/313347373919?hash=item48f4f57b5f:g:~mkAAOSwqtJf22rX
6 Tage Strandurlaub auf Rügen Ostsee Hotel Baabe inkl. HP Reise Deutschland,"Noch 6T 21Std (Donnerstag, 15:47)","EUR 22,50",https://www.ebay.at/itm/6-Tage-Strandurlaub-auf-Rugen-Ostsee-Hotel-Baabe-inkl-HP-Reise-Deutschland/313356613801?hash=item48f58278a9:g:Q8oAAOSwzI5f5HQF
5 Tage Wandern Urlaub 4* Mozart Vital Hotel Tirol Wellness Reise inkl. VP,"Noch 6 T (Mittwoch, 19:24)","EUR 223,00",https://www.ebay.at/itm/5-Tage-Wandern-Urlaub-4-Mozart-Vital-Hotel-Tirol-Wellness-Reise-inkl-VP/313355436016?hash=item48f5707ff0:g:uiYAAOSwuN5f41PN
5 Tage Erholung Reise Hotel Paradiso Pure Living 4* inkl. HP Seiser Alm Südtirol,"Noch 6 T (Mittwoch, 19:01)","EUR 445,00",https://www.ebay.at/itm/5-Tage-Erholung-Reise-Hotel-Paradiso-Pure-Living-4-inkl-HP-Seiser-Alm-Sudtirol/402620355628?hash=item5dbe0b142c:g:Sf0AAOSwIFhf41PR
3 Tage Erholung Kurzurlaub 3* Hotel Mölltal Obervellach Kärnten Reise inkl. HP,Noch 21 Min (Heute 19:00),"EUR 79,98",https://www.ebay.at/itm/3-Tage-Erholung-Kurzurlaub-3-Hotel-Molltal-Obervellach-Karnten-Reise-inkl-HP/402612758306?hash=item5dbd972722:g:p6wAAOSwdHlf22V1
3 Tage Kurzurlaub Hotel DAS SONNREICH 4* Wellness Genuss Reise Loipersdorf HP,Noch 3 Std (Heute 21:50),"EUR 286,00",https://www.ebay.at/itm/3-Tage-Kurzurlaub-Hotel-DAS-SONNREICH-4-Wellness-Genuss-Reise-Loipersdorf-HP/383863203475?hash=item596007a693:g:5BsAAOSwZq9f244L
5 Tage Urlaub Park Hotel Marlena 4* Superior Meran Südtirol Wellness inkl. VP,"Noch 6T 7Std (Donnerstag, 2:06)","EUR 446,00",https://www.ebay.at/itm/5-Tage-Urlaub-Park-Hotel-Marlena-4-Superior-Meran-Sudtirol-Wellness-inkl-VP/313355954799?hash=item48f5786a6f:g:u7IAAOSwne1f47ZR
3 Tage Wellness Genuss Kurzreise Hotel Das Alpenhaus Kaprun 4* Urlaub inkl. HP,"Noch 6T 6Std (Donnerstag, 0:49)","EUR 100,00",https://www.ebay.at/itm/3-Tage-Wellness-Genuss-Kurzreise-Hotel-Das-Alpenhaus-Kaprun-4-Urlaub-inkl-HP/402620628729?hash=item5dbe0f3ef9:g:e7YAAOSwelFf46Eg
3 Tage Wellness Kurzurlaub Genusshotel Riegersburg 4* inkl. HP Steiermark Reise,Noch 3 Std (Heute 21:45),"EUR 273,00",https://www.ebay.at/itm/3-Tage-Wellness-Kurzurlaub-Genusshotel-Riegersburg-4-inkl-HP-Steiermark-Reise/313347649051?hash=item48f4f9ae1b:g:szwAAOSw7Hlf244H
3 Tage Wellness Kurzurlaub Hotel Sonneck 4* Kössen Kaiserwinkl Tirol inkl. HP,"Noch 6T 20Std (Donnerstag, 15:16)","EUR 1,00",https://www.ebay.at/itm/3-Tage-Wellness-Kurzurlaub-Hotel-Sonneck-4-Kossen-Kaiserwinkl-Tirol-inkl-HP/402621256773?hash=item5dbe18d445:g:KtkAAOSwsP1f5G0Q
5 Tage Urlaub Hotel Mea Via 4* inkl. HP Pufels Südtirol Dolomiten Wandern Biking,"Noch 6T 9Std (Donnerstag, 3:47)","EUR 153,33",https://www.ebay.at/itm/5-Tage-Urlaub-Hotel-Mea-Via-4-inkl-HP-Pufels-Sudtirol-Dolomiten-Wandern-Biking/402620765495?hash=item5dbe115537:g:XH8AAOSw3Zpf48tL
4 Tage Wellness Kurzurlaub Hotel Sonneck 4* Kössen Kaiserwinkl Tirol inkl. HP,"Noch 6T 2Std (Mittwoch, 21:32)","EUR 154,00",https://www.ebay.at/itm/4-Tage-Wellness-Kurzurlaub-Hotel-Sonneck-4-Kossen-Kaiserwinkl-Tirol-inkl-HP/313355622099?hash=item48f57356d3:g:OLkAAOSwSRlf43cM
5 Tage Wellness Wandern Kurzreise Stubaital Alpen Hotel Fernau 4* Urlaub Tirol,"Noch 6T 20Std (Donnerstag, 14:48)","EUR 20,83",https://www.ebay.at/itm/5-Tage-Wellness-Wandern-Kurzreise-Stubaital-Alpen-Hotel-Fernau-4-Urlaub-Tirol/383873738529?hash=item5960a86721:g:Gb0AAOSwQqRf5GX~
5 Tage Urlaub Hotel Das Alpenhaus Gasteinertal 4* inkl. HP Wellness Reise,"Noch 4T 19Std (Dienstag, 14:13)","EUR 401,00",https://www.ebay.at/itm/5-Tage-Urlaub-Hotel-Das-Alpenhaus-Gasteinertal-4-inkl-HP-Wellness-Reise/313353846470?hash=item48f5583ec6:g:T0AAAOSwwz1f4bvo
3 Tage Wellness Urlaub Hotel Leitner 4* Therme Loipersdorf Steiermark inkl. HP,"Noch 5 Std (Freitag, 0:20)","EUR 356,00",https://www.ebay.at/itm/3-Tage-Wellness-Urlaub-Hotel-Leitner-4-Therme-Loipersdorf-Steiermark-inkl-HP/383863464339?hash=item59600ba193:g:K7sAAOSwRrpf27Em
4 Tage Kurzurlaub Hotel Der Almblick 4* inkl. HP Strallegg Steiermark Reise,"Noch 6 Std (Freitag, 0:58)","EUR 251,00",https://www.ebay.at/itm/4-Tage-Kurzurlaub-Hotel-Der-Almblick-4-inkl-HP-Strallegg-Steiermark-Reise/402613457049?hash=item5dbda1d099:g:sUUAAOSwy11f278j
5 Tage Urlaub Hotel Belvedere 3*S Gardasee Manerba del Garda Italien Biking Golf,"Noch 6T 2Std (Mittwoch, 21:04)","EUR 82,00",https://www.ebay.at/itm/5-Tage-Urlaub-Hotel-Belvedere-3-S-Gardasee-Manerba-del-Garda-Italien-Biking-Golf/402620461938?hash=item5dbe0cb372:g:~kEAAOSweNpf42~T
5 Tage Urlaub Zell am See 3* Hotel Grüner Baum inkl. HP Wandern Biking Golf,"Noch 6T 21Std (Donnerstag, 16:02)","EUR 3,50",https://www.ebay.at/itm/5-Tage-Urlaub-Zell-am-See-3-Hotel-Gruner-Baum-inkl-HP-Wandern-Biking-Golf/313356630955?hash=item48f582bbab:g:VCYAAOSwtmhf5Hr4
4 Tage Urlaub Hotel Tirolerhof 4* Stubaital Fulpmes Tirol inkl. HP Kurzreise,Noch 4 Std (Heute 23:21),"EUR 230,00",https://www.ebay.at/itm/4-Tage-Urlaub-Hotel-Tirolerhof-4-Stubaital-Fulpmes-Tirol-inkl-HP-Kurzreise/313347785403?hash=item48f4fbc2bb:g:JFEAAOSwlc1f26L1
3 Tage Wellness Urlaub Romantik Hotel Im Weissen Rössl 4*S Wolfgangsee inkl. HP,"Noch 6T 5Std (Donnerstag, 0:12)","EUR 202,00",https://www.ebay.at/itm/3-Tage-Wellness-Urlaub-Romantik-Hotel-Im-Weissen-Rossl-4-S-Wolfgangsee-inkl-HP/313355805159?hash=item48f57621e7:g:troAAOSwN35f45om
4 Tage 4* Wellness Erholung Urlaub Hotel Allmer Bad Gleichenberg Steiermark,"Noch 6T 5Std (Mittwoch, 23:56)","EUR 200,00",https://www.ebay.at/itm/4-Tage-4-Wellness-Erholung-Urlaub-Hotel-Allmer-Bad-Gleichenberg-Steiermark/383872823854?hash=item59609a722e:g:Y00AAOSw-ktf45Mm
4 Tage 4* Wellness Erholung Urlaub Hotel Allmer Bad Gleichenberg Steiermark,"Noch 23 Std (Freitag, 17:51)","EUR 287,00",https://www.ebay.at/itm/4-Tage-4-Wellness-Erholung-Urlaub-Hotel-Allmer-Bad-Gleichenberg-Steiermark/402614387148?hash=item5dbdb001cc:g:cJMAAOSwiItf3Kcg
3 Tage Kurzurlaub am Millstätter See Hotel Bellevue 4* Kärnten Reise inkl. HP,"Noch 6T 9Std (Donnerstag, 3:42)","EUR 62,00",https://www.ebay.at/itm/3-Tage-Kurzurlaub-am-Millstatter-See-Hotel-Bellevue-4-Karnten-Reise-inkl-HP/313356048308?hash=item48f579d7b4:g:SmcAAOSwsppf48tF
6 Tage Winterurlaub Hotel Alpina 4* Obertauern Salzburger Land Skireise,"Noch 6T 5Std (Mittwoch, 23:55)","EUR 313,00",https://www.ebay.at/itm/6-Tage-Winterurlaub-Hotel-Alpina-4-Obertauern-Salzburger-Land-Skireise/402620573654?hash=item5dbe0e67d6:g:jSgAAOSwhWFf45Mt
4 Tage Wellness Reise Hotel BERGhof 4* Urlaub Ramsau am Dachstein inkl. HP,Noch 1 Std (Heute 20:08),"EUR 336,00",https://www.ebay.at/itm/4-Tage-Wellness-Reise-Hotel-BERGhof-4-Urlaub-Ramsau-am-Dachstein-inkl-HP/402612917012?hash=item5dbd999314:g:SMkAAOSwZaRf23jF
3 Tage Weekend Special Urlaub Hotel & Spa Suites VITUS Steyr 4* inkl. 1x Dinner,"Noch 5T 20Std (Mittwoch, 14:40)","EUR 113,00",https://www.ebay.at/itm/3-Tage-Weekend-Special-Urlaub-Hotel-Spa-Suites-VITUS-Steyr-4-inkl-1x-Dinner/383871992391?hash=item59608dc247:g:8WYAAOSwnbZf4xSR
3 Tage Wellness Kurzurlaub Genusshotel Riegersburg 4* inkl. HP Steiermark Reise,"Noch 3T 3Std (Sonntag, 21:45)","EUR 255,00",https://www.ebay.at/itm/3-Tage-Wellness-Kurzurlaub-Genusshotel-Riegersburg-4-inkl-HP-Steiermark-Reise/383867706168?hash=item59604c5b38:g:8bgAAOSwkYpf34JT
3 Tage Wellness Urlaub Hotel Leitner 4* Therme Loipersdorf Steiermark inkl. HP,"Noch 5T 5Std (Mittwoch, 0:20)","EUR 201,00",https://www.ebay.at/itm/3-Tage-Wellness-Urlaub-Hotel-Leitner-4-Therme-Loipersdorf-Steiermark-inkl-HP/313354471528?hash=item48f561c868:g:kWoAAOSw22Ff4kiF
3 Tage Kurzurlaub Hotel DAS SONNREICH 4* Wellness Genuss Reise Loipersdorf HP,"Noch 2T 3Std (Samstag, 21:50)","EUR 234,00",https://www.ebay.at/itm/3-Tage-Kurzurlaub-Hotel-DAS-SONNREICH-4-Wellness-Genuss-Reise-Loipersdorf-HP/313350614276?hash=item48f526ed04:g:GS4AAOSw-k1f3jDy
3 Tage Thermen & Berge Deluxe Reise AQUA DOME 4*sup Wellness Urlaub Ötztal Tirol,"Noch 5T 7Std (Mittwoch, 1:53)","EUR 400,00",https://www.ebay.at/itm/3-Tage-Thermen-Berge-Deluxe-Reise-AQUA-DOME-4-sup-Wellness-Urlaub-Otztal-Tirol/313354585079?hash=item48f56383f7:g:dBUAAOSwpxNf4l2q
3 Tage Wellness Thermen Urlaub Hotel Rogner Bad Blumau 4* inkl. HP Steiermark,"Noch 3T 21Std (Montag, 16:02)","EUR 400,04",https://www.ebay.at/itm/3-Tage-Wellness-Thermen-Urlaub-Hotel-Rogner-Bad-Blumau-4-inkl-HP-Steiermark/402617892310?hash=item5dbde57dd6:g:v70AAOSwhnZf4IZ3
5 Tage Wörthersee Kurzurlaub my lake hotel & spa 4* Pörtschach Kärnten Erholung,"Noch 3T 19Std (Montag, 14:05)","EUR 302,00",https://www.ebay.at/itm/5-Tage-Worthersee-Kurzurlaub-my-lake-hotel-spa-4-Portschach-Karnten-Erholung/402617799507?hash=item5dbde41353:g:N9MAAOSwbs9f4Gp-
4 Tage Urlaub Hotel Alpenrose 4*S inkl. VP Elbigenalp Lechtal Tirol Biking Reise,"Noch 6T 21Std (Donnerstag, 16:10)","EUR 2,50",https://www.ebay.at/itm/4-Tage-Urlaub-Hotel-Alpenrose-4-S-inkl-VP-Elbigenalp-Lechtal-Tirol-Biking-Reise/383873848090?hash=item5960aa131a:g:yHoAAOSwsKxf5Hr-
4 Tage Kurzurlaub Hotel DAS SONNREICH 4* Wellness Genuss Reise Loipersdorf HP,"Noch 1T 7Std (Samstag, 1:43)","EUR 302,00",https://www.ebay.at/itm/4-Tage-Kurzurlaub-Hotel-DAS-SONNREICH-4-Wellness-Genuss-Reise-Loipersdorf-HP/313349565817?hash=item48f516ed79:g:I-IAAOSwluVf3Ren
3 Tage Wellness Kurzurlaub Genusshotel Riegersburg 4* inkl. HP Steiermark Reise,"Noch 2T 7Std (Sonntag, 2:11)","EUR 244,00",https://www.ebay.at/itm/3-Tage-Wellness-Kurzurlaub-Genusshotel-Riegersburg-4-inkl-HP-Steiermark-Reise/383866634656?hash=item59603c01a0:g:kaQAAOSwy79f3nBR
3 Tage Wellness Urlaub Hotel Leitner 4* Therme Loipersdorf Steiermark inkl. HP,"Noch 3T 5Std (Montag, 0:20)","EUR 314,00",https://www.ebay.at/itm/3-Tage-Wellness-Urlaub-Hotel-Leitner-4-Therme-Loipersdorf-Steiermark-inkl-HP/383867884138?hash=item59604f126a:g:1DwAAOSw~7Nf36Ww
3 Tage Wellness Urlaub Hotel Stoiser 4*S Kurzreise Loipersdorf Steiermark,"Noch 1T 5Std (Samstag, 0:28)","EUR 252,00",https://www.ebay.at/itm/3-Tage-Wellness-Urlaub-Hotel-Stoiser-4-S-Kurzreise-Loipersdorf-Steiermark/383865060497?hash=item596023fc91:g:yqYAAOSwCwFf3Qm2
6 Tage Wellness Erholung 4* Hotel Margarethenbad Urlaub Hohe Tauern Kärnten HP,"Noch 3T 4Std (Sonntag, 23:21)","EUR 321,01",https://www.ebay.at/itm/6-Tage-Wellness-Erholung-4-Hotel-Margarethenbad-Urlaub-Hohe-Tauern-Karnten-HP/402616970393?hash=item5dbdd76c99:g:4iAAAOSwtM1f35d3
3 Tage Urlaub Hotel DAS SONNREICH 4* Wellness EXKL. Eintritt Therme Loipersdorf,Noch 2 Std (Heute 21:28),"EUR 121,00",https://www.ebay.at/itm/3-Tage-Urlaub-Hotel-DAS-SONNREICH-4-Wellness-EXKL-Eintritt-Therme-Loipersdorf/402613064043?hash=item5dbd9bd16b:g:6jUAAOSwr8Vf244O
6 Tage 4* Hotel Olympia Therme Wellness Urlaub Montegrotto Abano Italien inkl HP,"Noch 6T 6Std (Donnerstag, 1:03)","EUR 124,00",https://www.ebay.at/itm/6-Tage-4-Hotel-Olympia-Therme-Wellness-Urlaub-Montegrotto-Abano-Italien-inkl-HP/402620670261?hash=item5dbe0fe135:g:XawAAOSwcMlf46gj
7 Tage Urlaub Wellness Hotel Stubaier Hof 4* Fulpmes Stubaital Tirol inkl. HP,"Noch 20 Std (Freitag, 15:06)","EUR 550,00",https://www.ebay.at/itm/7-Tage-Urlaub-Wellness-Hotel-Stubaier-Hof-4-Fulpmes-Stubaital-Tirol-inkl-HP/383864370589?hash=item596019759d:g:5HAAAOSwwSpf3IQJ
3 Tage Kurzurlaub Hotel Das Alpenhaus Gasteinertal 4* inkl. HP Wellness Reise,"Noch 2T 3Std (Samstag, 22:17)","EUR 202,00",https://www.ebay.at/itm/3-Tage-Kurzurlaub-Hotel-Das-Alpenhaus-Gasteinertal-4-inkl-HP-Wellness-Reise/313350643433?hash=item48f5275ee9:g:g4YAAOSwfGhf3jfp
4 Tage Wellness Urlaub Hotel Kolmhof 4* Wandern Millstätter See Reise inkl. HP,"Noch 23 Std (Freitag, 17:42)","EUR 232,00",https://www.ebay.at/itm/4-Tage-Wellness-Urlaub-Hotel-Kolmhof-4-Wandern-Millstatter-See-Reise-inkl-HP/383864520510?hash=item59601bbf3e:g:kRUAAOSwnNVf3Kci
5 Tage 4* Hotel Piroska Wellness Erholung Urlaub Bük inkl. HP Ungarn Reise,"Noch 21 Std (Freitag, 16:35)","EUR 130,13",https://www.ebay.at/itm/5-Tage-4-Hotel-Piroska-Wellness-Erholung-Urlaub-Buk-inkl-HP-Ungarn-Reise/402614325150?hash=item5dbdaf0f9e:g:OekAAOSwzJZf3Jk2
3 Tage Wellness Urlaub Hotel Stoiser 4*S Kurzreise Loipersdorf Steiermark,"Noch 3T 5Std (Montag, 0:28)","EUR 21,50",https://www.ebay.at/itm/3-Tage-Wellness-Urlaub-Hotel-Stoiser-4-S-Kurzreise-Loipersdorf-Steiermark/383867920556?hash=item59604fa0ac:g:HiMAAOSwRcNf36yy
3 Tage Weekend Special Urlaub Hotel & Spa Suites VITUS Steyr 4* inkl. 1x Dinner,"Noch 4T 5Std (Montag, 23:52)","EUR 89,00",https://www.ebay.at/itm/3-Tage-Weekend-Special-Urlaub-Hotel-Spa-Suites-VITUS-Steyr-4-inkl-1x-Dinner/402618236832?hash=item5dbdeabfa0:g:mJIAAOSwi2Rf4PAW
3 Tage Winterurlaub Hotel Alpina 4* Obertauern Salzburger Land Skireise,"Noch 1T 20Std (Samstag, 15:00)","EUR 101,00",https://www.ebay.at/itm/3-Tage-Winterurlaub-Hotel-Alpina-4-Obertauern-Salzburger-Land-Skireise/313350313702?hash=item48f52256e6:g:FlEAAOSw4gRf3dWg
3 Tage Wellness Urlaub Vamed Hotel Spa Resort Styria 4*S inkl HP Bad Waltersdorf,"Noch 4T 4Std (Montag, 23:22)","EUR 246,00",https://www.ebay.at/itm/3-Tage-Wellness-Urlaub-Vamed-Hotel-Spa-Resort-Styria-4-S-inkl-HP-Bad-Waltersdorf/402618219509?hash=item5dbdea7bf5:g:xm4AAOSwDaVf4OkY
4 Tage Wellness Reise Hotel BERGhof 4* Urlaub Ramsau am Dachstein inkl. HP,"Noch 4T 1Std (Montag, 20:08)","EUR 321,00",https://www.ebay.at/itm/4-Tage-Wellness-Reise-Hotel-BERGhof-4-Urlaub-Ramsau-am-Dachstein-inkl-HP/402618097750?hash=item5dbde8a056:g:bLgAAOSwTcdf4L7h
3 Tage Hotel St. Martins Therme & Lodge 4*S Wellness Urlaub Seewinkel inkl. HP,"Noch 5T 6Std (Mittwoch, 1:08)","EUR 408,00",https://www.ebay.at/itm/3-Tage-Hotel-St-Martins-Therme-Lodge-4-S-Wellness-Urlaub-Seewinkel-inkl-HP/383871124180?hash=item59608082d4:g:aYAAAOSwqlZf4law
3 Tage Weekend Special Urlaub Hotel & Spa Suites VITUS Steyr 4* inkl. 1x Dinner,"Noch 5T 5Std (Dienstag, 23:52)","EUR 122,00",https://www.ebay.at/itm/3-Tage-Weekend-Special-Urlaub-Hotel-Spa-Suites-VITUS-Steyr-4-inkl-1x-Dinner/402619405260?hash=item5dbdfc93cc:g:DX0AAOSwzcdf4kF9
3 Tage Weekend Special Urlaub Hotel & Spa Suites VITUS Steyr 4* inkl. 1x Dinner,"Noch 20 Std (Freitag, 14:40)","EUR 134,00",https://www.ebay.at/itm/3-Tage-Weekend-Special-Urlaub-Hotel-Spa-Suites-VITUS-Steyr-4-inkl-1x-Dinner/402614205754?hash=item5dbdad3d3a:g:TWwAAOSweiZf3H0E
3 Tage Kurzreise Hotel Landgut Althof Retz 4* Weinviertel Wellness Urlaub,"Noch 8 Std (Freitag, 3:13)","EUR 160,00",https://www.ebay.at/itm/3-Tage-Kurzreise-Hotel-Landgut-Althof-Retz-4-Weinviertel-Wellness-Urlaub/402613556247?hash=item5dbda35417:g:12QAAOSw~Vhf29s5
5 Tage Wellness Genuss Reise Hotel Das Alpenhaus Kaprun 4* Urlaub inkl. HP,"Noch 4T 7Std (Dienstag, 2:09)","EUR 392,00",https://www.ebay.at/itm/5-Tage-Wellness-Genuss-Reise-Hotel-Das-Alpenhaus-Kaprun-4-Urlaub-inkl-HP/383869509649?hash=item596067e011:g:DVoAAOSw49tf4RM0
3 Tage Wellness Kurzurlaub Boutique Hotel Erla 4* Stubenbergsee Steiermark Reise,"Noch 3 T (Sonntag, 18:58)","EUR 20,50",https://www.ebay.at/itm/3-Tage-Wellness-Kurzurlaub-Boutique-Hotel-Erla-4-Stubenbergsee-Steiermark-Reise/402618910150?hash=item5dbdf505c6:g:EkcAAOSwO7Jf4anJ
3 Tage Kurzurlaub Hotel Das Alpenhaus Gasteinertal 4* inkl. HP Wellness Reise,"Noch 6T 3Std (Mittwoch, 22:17)","EUR 156,00",https://www.ebay.at/itm/3-Tage-Kurzurlaub-Hotel-Das-Alpenhaus-Gasteinertal-4-inkl-HP-Wellness-Reise/383872656844?hash=item596097e5cc:g:ERsAAOSw8QRf434B
5 Tage Urlaub Hotel Das Alpenhaus Gasteinertal 4* inkl. HP Wellness Reise,"Noch 6 Std (Freitag, 1:08)","EUR 424,00",https://www.ebay.at/itm/5-Tage-Urlaub-Hotel-Das-Alpenhaus-Gasteinertal-4-inkl-HP-Wellness-Reise/402613456999?hash=item5dbda1d067:g:t2sAAOSwTzpf278e
5 Tage Wellness Urlaub Hotel Sonneck 4* Kössen Kaiserwinkl Tirol inkl. HP Reise,"Noch 5T 5Std (Mittwoch, 0:01)","EUR 101,00",https://www.ebay.at/itm/5-Tage-Wellness-Urlaub-Hotel-Sonneck-4-Kossen-Kaiserwinkl-Tirol-inkl-HP-Reise/383871023441?hash=item59607ef951:g:w3YAAOSwTC5f4kiJ
4 Tage Urlaub Zell am See 3* Hotel Grüner Baum inkl. HP Wandern Biking Golf,"Noch 4T 3Std (Montag, 22:27)","EUR 193,90",https://www.ebay.at/itm/4-Tage-Urlaub-Zell-am-See-3-Hotel-Gruner-Baum-inkl-HP-Wandern-Biking-Golf/313353000920?hash=item48f54b57d8:g:pScAAOSwgPtf4OHk
5 Tage Urlaub Hotel Das Alpenhaus Gasteinertal 4* inkl. HP Wellness Reise,"Noch 3T 6Std (Montag, 1:08)","EUR 334,00",https://www.ebay.at/itm/5-Tage-Urlaub-Hotel-Das-Alpenhaus-Gasteinertal-4-inkl-HP-Wellness-Reise/402617115826?hash=item5dbdd9a4b2:g:misAAOSwkUJf37Ou
3 Tage Wellness Urlaub Vamed Hotel Spa Resort Styria 4*S inkl HP Bad Waltersdorf,"Noch 2T 4Std (Samstag, 23:22)","EUR 321,00",https://www.ebay.at/itm/3-Tage-Wellness-Urlaub-Vamed-Hotel-Spa-Resort-Styria-4-S-inkl-HP-Bad-Waltersdorf/313350703462?hash=item48f5284966:g:CF8AAOSwQ4Zf3kXu
4 Tage Wandern Ski Reise Hotel Neuwirt 4* Urlaub Ramsau am Dachstein inkl. HP,Noch 2 Std (Heute 20:53),"EUR 256,00",https://www.ebay.at/itm/4-Tage-Wandern-Ski-Reise-Hotel-Neuwirt-4-Urlaub-Ramsau-am-Dachstein-inkl-HP/383863063592?hash=item5960058428:g:F6MAAOSwYHFf23~A
6 Tage Luxus Urlaub Hotel President Terme 5* Wellness Golf Abano Therme Venetien,"Noch 3T 6Std (Montag, 1:04)","EUR 456,00",https://www.ebay.at/itm/6-Tage-Luxus-Urlaub-Hotel-President-Terme-5-Wellness-Golf-Abano-Therme-Venetien/402617115857?hash=item5dbdd9a4d1:g:EHMAAOSwlWNf37Oy
3 Tage Wellness Urlaub Hotel Leitner 4* Therme Loipersdorf Steiermark inkl. HP,"Noch 4T 5Std (Dienstag, 0:20)","EUR 56,00",https://www.ebay.at/itm/3-Tage-Wellness-Urlaub-Hotel-Leitner-4-Therme-Loipersdorf-Steiermark-inkl-HP/383869356108?hash=item596065884c:g:WfYAAOSwOc5f4PcV
5 Tage Urlaub Ungarn Palace Hotel Heviz 4* Wellness Erholung Kurzreise,"Noch 2T 6Std (Sonntag, 0:57)","EUR 115,00",https://www.ebay.at/itm/5-Tage-Urlaub-Ungarn-Palace-Hotel-Heviz-4-Wellness-Erholung-Kurzreise/383866570556?hash=item59603b073c:g:Kz8AAOSwNM1f3mIk
